Epochs,Training Accuracy,Validation Accuracy
1,0.0,0.0
2,47.386088487783404,47.39159145938807
3,47.6502311248074,46.51111600264143
4,47.59520140876073,47.23750825445741
5,47.859344045784724,47.633722209993394
6,48.00792427911072,47.39159145938807
7,48.17851639885538,47.611710323574734
8,48.35461149020471,47.083425049526745
9,48.508694695135375,48.00792427911072
10,48.90490865067136,47.96390050627339
11,48.84437596302003,46.885318071758746
12,49.24609289016069,46.797270526084084
13,49.345146379044685,46.907329958177414
14,49.65881576051068,47.21549636803874
15,49.884437596302,47.21549636803874
16,50.20360994937266,46.863306185340086
17,50.53378824565265,48.00792427911072
18,50.737398195025314,46.77525863966542
19,50.97402597402598,46.687211093990754
20,51.2821923838873,47.54567466431873
21,51.90953114681928,39.07109839313229
22,52.558881796169935,38.476777459828305
23,52.977107638124586,47.76579352850539
24,53.29627999119525,41.05216817081224
25,54.116222760290555,45.1683909311028
26,54.57847237508255,48.360114461809374
27,54.8646268985252,47.98591239269205
28,56.05326876513317,42.65903587937486
29,56.2623816861105,47.809817301342726
30,56.493506493506494,30.48646268985252
31,57.82522562183579,48.49218578032137
