Epochs,Training Loss,Validation Loss
1,0.0,0.0
2,1.866387849438697,1.7332159366057671
3,1.814274708342505,2.199867928681488
4,1.7905018710103455,1.6000440237728373
5,1.773332599603786,1.2665639445300463
6,1.7574840413823465,1.6332819722650231
7,1.7455425930002202,2.033237948492186
8,1.7353620955315872,1.7999119524543252
9,1.7273827867048206,1.4331939247193484
10,1.7154413383226943,1.4998899405679067
11,1.7069117323354612,1.6332819722650231
12,1.6961809377063615,1.7332159366057671
13,1.6837992515958617,1.5665859564164648
14,1.6718578032137354,1.9333039841514417
15,1.659421087387189,2.2333259960378604
16,1.647754787585296,0.9665419326436275
17,1.6287695355491965,1.6332819722650231
18,1.6128109178956636,1.4998899405679067
19,1.6063724411182039,1.4998899405679067
20,1.5843605546995378,1.6332819722650231
21,1.5625137574290118,1.6000440237728373
22,1.546500110059432,1.7666740039621396
23,1.523002421307506,1.9665419326436275
24,1.5110609729253797,1.7999119524543252
25,1.4833259960378604,1.6999779881135813
26,1.4552058111380146,1.5331278890600923
27,1.436385648250055,1.5998239049086507
28,1.4024323134492627,1.4998899405679067
29,1.3757979308826767,1.4998899405679067
30,1.3701848998459167,1.5665859564164648
31,1.331884217477438,1.5665859564164648
