Epochs,Training Accuracy,Validation Accuracy
1,0.0,0.0
2,36.11600264142637,47.5676865507374
3,40.87057010785824,47.47963900506274
4,43.13229143737618,47.611710323574734
5,44.794188861985475,47.5676865507374
6,45.372000880475454,47.72176975566806
7,45.87277129650011,47.523662777900064
8,46.18093770636143,47.47963900506274
9,46.461589258199425,47.523662777900064
10,46.84679727052608,47.611710323574734
11,46.61567246313009,47.76579352850539
12,46.973365617433416,47.76579352850539
13,47.022892361875414,47.699757869249396
14,47.29804094210874,47.65573409641206
15,47.31454985692274,47.94188861985472
16,47.71626678406339,48.11798371120405
17,47.6172132951794,48.139995597622715
18,47.77129650011006,48.360114461809374
19,47.809817301342726,48.029936165529385
20,47.79881135813339,48.47017389390271
21,48.12898965441338,48.18401937046005
22,48.24455205811138,48.18401937046005
23,48.44265903587937,48.20603125687872
24,48.695795729694034,47.96390050627339
25,49.10851860004402,48.31609068897205
26,49.488223640766016,47.94188861985472
27,49.41668500990535,48.338102575390714
28,49.702839533348005,46.64318732115342
29,49.983491085186,47.39159145938807
30,50.264142637023994,47.633722209993394
31,50.621835791327314,48.38212634822804
