Epochs,Training Accuracy,Validation Accuracy
1,0.0,0.0
2,47.42460928901607,48.82236407660137
3,47.6502311248074,48.866387849438695
4,47.87034998899406,49.04248294078803
5,48.13449262601805,48.448162007484044
6,48.60774818401937,45.69667620515078
7,49.262601804974686,48.07395993836672
8,49.85692273827867,48.00792427911072
9,50.852960598723314,44.41998679286815
10,52.256218357913276,48.71230464450804
11,53.98415144177856,46.797270526084084
12,55.767114241690514,40.30376403257759
13,57.84173453664979,46.51111600264143
14,60.516178736517716,40.47985912392692
15,62.783403037640326,46.92934184459608
16,65.0231124807396,36.1435174994497
17,67.34536649790887,36.49570768214836
18,70.17389390270746,43.40744001760951
19,71.92383887299141,29.561963460268544
20,73.80035219018269,44.24389170151882
21,75.79793088267664,42.26282192383887
22,77.34426590358794,45.65265243231345
23,78.19722650231125,36.64979088707902
24,79.95267444419987,29.914153642967204
25,80.48646268985252,43.12128549416685
26,80.84415584415585,29.18776139115122
27,81.65859564164649,36.95795729694035
28,81.87871450583314,37.77239709443099
29,82.21439577371781,39.70944309927361
30,82.5941008144398,32.3794849218578
31,82.70416024653312,37.508254457407
