Epochs,Training Loss,Validation Loss
1,0.0,0.0
2,1.8662777900066037,1.900066035659256
3,1.808166409861325,1.833149900946511
4,1.7794959278010125,1.6000440237728373
5,1.75561303103676,1.5333480079242792
6,1.7224851419766674,2.166629980189302
7,1.6867158265463351,1.7999119524543252
8,1.645443539511336,1.3999559762271627
9,1.6011996478098174,1.4998899405679067
10,1.5510675764913053,1.099933964340744
11,1.4851419766674003,1.1666299801893023
12,1.408595641646489,1.3999559762271627
13,1.332324455205811,1.2333259960378604
14,1.2483491085186,1.199867928681488
15,1.1624477217697557,1.1666299801893023
16,1.0790777019590578,1.099933964340744
17,1.011831388950033,1.4331939247193484
18,0.9162447721769755,1.099933964340744
19,0.8590138674884438,0.9665419326436275
20,0.7979308826766454,1.3999559762271627
21,0.7332159366057671,0.5331278890600925
22,0.6846246973365617,0.49988994056790664
23,0.6473145498569227,0.49988994056790664
24,0.5979528945630641,0.6332819722650231
25,0.5757208892802114,0.2665639445300462
26,0.5478208232445521,0.7666740039621396
27,0.5186000440237728,0.39995597622716267
28,0.50132071318512,0.33325996037860445
29,0.4927360774818402,0.5998239049086507
30,0.46731234866828086,0.39995597622716267
31,0.46290997138454765,0.3000220118864187
