Epochs,Training Accuracy,Validation Accuracy
1,0.0,0.0
2,83.2955832389581,88.77551020408163
3,89.97734994337486,90.9297052154195
4,91.22310305775764,90.36281179138322
5,93.09173272933182,92.06349206349206
6,94.39411098527746,93.19727891156462
7,94.3374858437146,93.42403628117914
8,95.04530011325028,92.63038548752834
9,94.90373725934315,93.08390022675736
10,95.55492638731597,93.5374149659864
11,95.72480181200453,88.66213151927438
12,96.17780294450736,92.51700680272108
13,96.4326160815402,92.51700680272108
14,96.91392978482446,78.79818594104309
15,96.99886749716875,91.26984126984127
16,96.80067950169875,93.08390022675736
17,97.53680634201585,94.10430839002268
18,97.79161947904869,92.17687074829932
19,97.45186862967158,93.31065759637188
20,97.42355605889014,92.17687074829932
21,98.69762174405436,94.5578231292517
22,98.2163080407701,94.5578231292517
23,98.78255945639864,91.83673469387755
24,98.78255945639864,92.97052154195012
25,98.4144960362401,94.67120181405896
26,98.81087202718007,87.86848072562358
27,98.83918459796149,90.9297052154195
28,99.12231030577577,92.85714285714286
29,99.80181200453,94.5578231292517
30,99.43374858437146,93.5374149659864
31,98.78255945639864,92.17687074829932
