Epochs,Training Accuracy,Validation Accuracy
1,0.0,0.0
2,77.26500566251416,89.1156462585034
3,82.53114382785957,88.20861678004535
4,86.15515288788222,91.26984126984127
5,86.94790486976217,91.49659863945578
6,88.3352208380521,89.3424036281179
7,89.04303510758777,91.38321995464852
8,90.28878822197055,92.06349206349206
9,90.118912797282,91.15646258503402
10,91.05322763306908,92.85714285714286
11,90.65685164212911,91.38321995464852
12,90.93997734994338,93.08390022675736
13,91.36466591166477,93.7641723356009
14,92.2140430351076,91.9501133786848
15,92.80860702151756,92.63038548752834
16,92.78029445073612,93.7641723356009
17,92.92185730464327,92.85714285714286
18,93.94110985277463,92.29024943310658
19,93.09173272933182,91.9501133786848
20,93.45979614949037,93.99092970521542
21,93.68629671574179,93.5374149659864
22,94.2242355605889,93.87755102040816
23,94.39411098527746,93.99092970521542
24,94.960362400906,92.85714285714286
25,94.960362400906,92.06349206349206
26,94.56398640996602,93.19727891156462
27,94.90373725934315,93.5374149659864
28,94.87542468856172,92.40362811791383
29,95.5832389580974,93.65079365079364
30,95.2718006795017,93.5374149659864
31,94.93204983012457,95.01133786848072
