Epochs,Training Loss,Validation Loss
1,0.0,0.0
2,0.5649923312883436,0.25
3,0.401840490797546,0.625
4,0.3328220858895706,0.5625
5,0.29486196319018404,0.5625
6,0.2402223926380368,0.0625
7,0.200920245398773,0.4375
8,0.2106978527607362,0.125
9,0.17925613496932516,0.0
10,0.16756134969325154,0.0625
11,0.16123466257668712,0.0625
12,0.15126533742331288,0.0625
13,0.1531825153374233,0.0
14,0.12461656441717792,0.125
15,0.12557515337423314,0.0
16,0.12749233128834356,0.0
17,0.12442484662576687,0.125
18,0.1021855828220859,0.0
19,0.09720092024539877,0.0
20,0.08991564417177914,0.0
21,0.09144938650306748,0.125
22,0.08742331288343558,0.0
23,0.08282208588957055,0.0
24,0.07745398773006135,0.0
25,0.08397239263803681,0.0
26,0.07802914110429447,0.0625
27,0.06307515337423313,0.0625
28,0.05502300613496933,0.0
29,0.0598159509202454,0.0625
30,0.06901840490797546,0.0
31,0.050421779141104295,0.0
