Epochs,Training Accuracy,Validation Accuracy
1,0.0,0.0
2,85.10758776896942,81.51927437641723
3,90.20385050962628,91.38321995464852
4,92.49716874292186,90.02267573696145
5,93.03510758776896,86.16780045351474
6,94.960362400906,92.17687074829932
7,94.87542468856172,91.83673469387755
8,95.86636466591166,80.83900226757369
9,95.72480181200453,93.31065759637188
10,97.19705549263873,92.51700680272108
11,97.11211778029445,89.56916099773242
12,98.24462061155153,92.40362811791383
13,98.75424688561722,92.40362811791383
14,99.2638731596829,91.15646258503402
15,99.40543601359003,92.40362811791383
16,98.86749716874291,93.31065759637188
17,99.80181200453,93.31065759637188
18,99.88674971687429,93.19727891156462
19,99.40543601359003,93.5374149659864
20,99.63193657984145,93.5374149659864
21,99.97168742921858,93.19727891156462
22,99.80181200453,91.9501133786848
23,99.83012457531144,92.06349206349206
24,99.63193657984145,92.7437641723356
25,99.71687429218574,93.42403628117914
26,99.83012457531144,92.97052154195012
27,99.91506228765572,93.42403628117914
28,99.97168742921858,93.31065759637188
29,100.0,93.42403628117914
30,100.0,93.42403628117914
31,99.85843714609287,90.58956916099773
