Epochs,Training Loss,Validation Loss
1,0.0,0.0
2,0.31370328425821065,0.1326530612244898
3,0.22083805209513024,0.26643990929705214
4,0.18459796149490373,0.19954648526077098
5,0.17270668176670442,0.5
6,0.1310872027180068,0.09977324263038549
7,0.12315968289920724,0.19954648526077098
8,0.10135900339750849,0.032879818594104306
9,0.08975084937712344,0.032879818594104306
10,0.06568516421291053,0.032879818594104306
11,0.06426953567383918,0.19954648526077098
12,0.03765571913929785,0.06689342403628118
13,0.025198187995469988,0.0
14,0.013873159682899207,0.032879818594104306
15,0.009060022650056626,0.0
16,0.01812004530011325,0.032879818594104306
17,0.003114382785956965,0.0
18,0.0011325028312570782,0.0
19,0.01217440543601359,0.0
20,0.0056625141562853904,0.0
21,0.0014156285390713476,0.032879818594104306
22,0.003680634201585504,0.0
23,0.002548131370328426,0.0
24,0.0065118912797281995,0.0
25,0.004530011325028313,0.0
26,0.003114382785956965,0.0
27,0.0011325028312570782,0.06689342403628118
28,0.0011325028312570782,0.0
29,0.0,0.0
30,0.0,0.0
31,0.002548131370328426,0.0
