Epochs,Training Loss,Validation Loss
1,0.0,0.0
2,0.268021472392638,0.25
3,0.17331288343558282,0.1875
4,0.1481978527607362,0.375
5,0.11100460122699386,0.1875
6,0.09720092024539877,0.0625
7,0.09566717791411043,0.125
8,0.07553680981595091,0.125
9,0.06671779141104295,0.125
10,0.06863496932515338,0.0
11,0.05598159509202454,0.0
12,0.05099693251533742,0.0
13,0.05061349693251534,0.1875
14,0.03834355828220859,0.125
15,0.03853527607361963,0.0
16,0.03450920245398773,0.0625
17,0.037960122699386506,0.0
18,0.02204754601226994,0.0
19,0.016104294478527608,0.1875
20,0.017446319018404908,0.0
21,0.011886503067484663,0.0
22,0.018980061349693253,0.125
23,0.012653374233128834,0.0
24,0.013228527607361963,0.125
25,0.009010736196319018,0.0
26,0.010736196319018405,0.0
27,0.006326687116564417,0.0
28,0.007668711656441718,0.0625
29,0.008052147239263804,0.0
30,0.009202453987730062,0.0
31,0.005751533742331288,0.0
