Epochs,Training Accuracy,Validation Accuracy
1,0.0,0.0
2,43.415841584158414,41.4
3,51.13861386138614,51.2
4,58.81188118811881,45.2
5,63.51485148514851,54.6
6,67.07920792079207,44.8
7,67.22772277227723,48.6
8,68.56435643564356,33.4
9,68.86138613861387,46.6
10,69.55445544554455,60.2
11,72.12871287128714,61.8
12,72.92079207920793,54.0
13,74.55445544554455,57.0
14,74.55445544554455,57.6
15,76.08910891089108,57.0
16,76.03960396039604,53.4
17,76.63366336633663,50.6
18,76.63366336633663,35.0
19,78.81188118811882,53.0
20,79.5049504950495,60.6
21,81.2871287128713,58.8
22,81.13861386138613,41.6
23,82.02970297029702,36.2
24,82.82178217821782,50.2
25,83.31683168316832,53.2
26,83.41584158415841,57.4
27,85.1980198019802,38.2
28,84.55445544554455,48.0
29,87.17821782178218,58.4
30,85.89108910891089,41.6
31,87.72277227722772,61.6
