Epochs,Training Loss,Validation Loss
1,0.0,0.0
2,1.3603960396039605,1.4
3,1.1608910891089108,0.966
4,1.0262376237623763,1.034
5,0.9425742574257425,1.232
6,0.8574257425742574,0.8
7,0.8292079207920792,1.266
8,0.7831683168316832,0.7
9,0.748019801980198,1.3
10,0.7297029702970297,0.534
11,0.6925742574257425,0.966
12,0.652970297029703,0.866
13,0.6455445544554456,1.066
14,0.6282178217821782,0.432
15,0.5757425742574257,1.034
16,0.5846534653465346,1.5
17,0.5831683168316831,0.434
18,0.5460396039603961,0.366
19,0.5143564356435644,0.734
20,0.5202970297029703,0.366
21,0.4762376237623762,0.666
22,0.46831683168316834,0.6
23,0.44702970297029704,0.2
24,0.42425742574257425,0.466
25,0.4074257425742574,0.8
26,0.4089108910891089,0.8
27,0.3777227722772277,1.132
28,0.3915841584158416,0.434
29,0.32425742574257427,0.332
30,0.3301980198019802,0.7
31,0.30247524752475247,0.132
