Epochs,Training Accuracy,Validation Accuracy
1,0.0,0.0
2,28.96039603960396,32.2
3,37.82178217821782,42.8
4,42.524752475247524,47.0
5,43.76237623762376,47.6
6,48.21782178217822,47.8
7,50.2970297029703,51.0
8,54.306930693069305,50.8
9,54.35643564356435,50.6
10,57.02970297029703,48.4
11,60.396039603960396,51.4
12,58.51485148514851,48.4
13,61.93069306930693,53.0
14,61.98019801980198,53.6
15,63.415841584158414,54.4
16,64.20792079207921,54.4
17,65.0,57.6
18,65.34653465346534,57.2
19,66.53465346534654,58.6
20,68.06930693069307,56.0
21,69.70297029702971,56.4
22,69.4059405940594,57.8
23,70.44554455445545,58.6
24,70.84158415841584,57.4
25,69.5049504950495,59.0
26,73.61386138613861,59.8
27,73.76237623762377,58.2
28,74.3069306930693,59.6
29,75.39603960396039,60.0
30,74.85148514851485,56.6
31,76.23762376237623,59.0
