Epochs,Training Loss,Validation Loss
1,0.0,0.0
2,2.36980198019802,2.2
3,2.0524752475247525,0.9
4,1.854950495049505,1.4
5,1.684158415841584,1.8
6,1.5821782178217823,1.766
7,1.5113861386138614,2.2
8,1.4133663366336633,1.0
9,1.3985148514851484,2.9
10,1.307920792079208,1.566
11,1.2158415841584158,0.6
12,1.2133663366336633,0.834
13,1.1267326732673266,2.366
14,1.1772277227722772,2.232
15,1.0782178217821783,1.066
16,0.9985148514851485,1.232
17,1.0178217821782178,1.7
18,1.0024752475247525,1.534
19,0.9584158415841584,0.4
20,0.9118811881188119,0.934
21,0.8737623762376238,1.4
22,0.8896039603960396,0.666
23,0.8514851485148515,1.2
24,0.8425742574257425,2.066
25,0.8737623762376238,1.866
26,0.7702970297029703,1.266
27,0.744059405940594,1.0
28,0.7222772277227723,0.732
29,0.7059405940594059,1.034
30,0.6836633663366337,0.566
31,0.6450495049504951,0.666
