Epochs,Training Accuracy,Validation Accuracy
1,0.0,0.0
2,41.43564356435643,38.0
3,53.81188118811881,49.6
4,60.04950495049505,39.0
5,64.00990099009901,45.2
6,67.57425742574257,53.8
7,69.20792079207921,53.8
8,71.98019801980197,41.0
9,75.34653465346534,54.4
10,79.05940594059406,46.8
11,80.04950495049505,52.6
12,81.38613861386139,56.8
13,82.72277227722772,55.0
14,84.95049504950495,58.8
15,90.34653465346534,55.6
16,89.10891089108911,54.8
17,90.5940594059406,55.4
18,94.10891089108911,56.6
19,95.64356435643565,56.0
20,95.44554455445545,61.2
21,97.22772277227723,59.0
22,97.87128712871286,62.0
23,98.21782178217822,59.8
24,98.96039603960396,60.6
25,99.4059405940594,62.8
26,99.8019801980198,63.0
27,99.05940594059406,55.6
28,99.55445544554455,60.4
29,99.9009900990099,62.2
30,99.9009900990099,61.4
31,99.35643564356435,62.2
