Epochs,Training Loss,Validation Loss
1,0.0,0.0
2,1.348019801980198,1.466
3,1.1222772277227724,0.9
4,0.9851485148514851,1.0
5,0.8811881188118812,1.034
6,0.7910891089108911,0.634
7,0.7504950495049505,1.166
8,0.7,0.634
9,0.6212871287128713,1.234
10,0.5638613861386138,0.5
11,0.5336633663366337,1.066
12,0.4792079207920792,0.632
13,0.44356435643564357,0.7
14,0.400990099009901,0.234
15,0.29108910891089107,0.6
16,0.2801980198019802,1.132
17,0.26831683168316833,0.166
18,0.17574257425742573,0.232
19,0.14306930693069306,0.3
20,0.1405940594059406,0.034
21,0.0900990099009901,0.166
22,0.0797029702970297,0.066
23,0.061386138613861385,0.0
24,0.04405940594059406,0.066
25,0.02920792079207921,0.066
26,0.010396039603960397,0.066
27,0.020297029702970298,0.2
28,0.01881188118811881,0.0
29,0.004455445544554455,0.0
30,0.0039603960396039604,0.266
31,0.02277227722772277,0.0
