Epochs,Training Accuracy,Validation Accuracy
1,0.0,0.0
2,29.455445544554454,27.2
3,33.26732673267327,31.4
4,38.366336633663366,36.8
5,41.73267326732673,42.0
6,46.13861386138614,43.8
7,49.801980198019805,45.6
8,53.366336633663366,50.4
9,54.7029702970297,48.2
10,56.73267326732673,46.8
11,57.92079207920792,51.6
12,60.0990099009901,54.2
13,60.445544554455445,53.2
14,63.71287128712871,52.6
15,64.95049504950495,55.8
16,65.0,56.0
17,65.74257425742574,55.2
18,66.43564356435644,56.6
19,67.67326732673267,57.4
20,69.4059405940594,58.8
21,68.51485148514851,58.6
22,68.7128712871287,58.2
23,70.6930693069307,58.2
24,70.54455445544555,58.2
25,70.84158415841584,58.8
26,70.64356435643565,58.0
27,72.02970297029702,58.4
28,72.67326732673267,58.6
29,72.27722772277228,59.4
30,73.96039603960396,59.0
31,72.77227722772277,59.0
