Epochs,Training Loss,Validation Loss
1,0.0,0.0
2,1.5995049504950496,1.468
3,1.5173267326732673,1.624
4,1.453960396039604,1.5
5,1.4168316831683168,1.562
6,1.3663366336633664,1.312
7,1.3361386138613862,1.468
8,1.297029702970297,1.094
9,1.2702970297029703,1.468
10,1.24009900990099,1.406
11,1.2133663366336633,1.406
12,1.1787128712871286,1.25
13,1.1633663366336633,1.344
14,1.131188118811881,0.718
15,1.110891089108911,1.218
16,1.0896039603960397,1.156
17,1.0727722772277228,1.094
18,1.0504950495049505,0.718
19,1.0257425742574258,0.968
20,1.006930693069307,1.188
21,0.9915841584158416,1.188
22,0.9792079207920792,1.25
23,0.9529702970297029,1.344
24,0.942079207920792,1.218
25,0.9272277227722773,1.312
26,0.9222772277227723,1.28
27,0.8955445544554456,1.094
28,0.8891089108910891,0.968
29,0.8722772277227723,1.0
30,0.8668316831683168,1.25
31,0.8475247524752475,0.75
