Epochs,Training Accuracy,Validation Accuracy
1,0.0,0.0
2,60.94059405940594,55.6
3,84.00990099009901,63.2
4,93.21782178217822,64.2
5,97.87128712871286,63.8
6,98.81188118811882,65.2
7,99.65346534653466,64.4
8,99.9009900990099,65.4
9,99.85148514851485,64.6
10,99.85148514851485,64.0
11,99.85148514851485,65.0
12,99.95049504950495,63.8
13,99.95049504950495,64.0
14,99.95049504950495,63.4
15,100.0,64.0
16,99.9009900990099,63.4
17,99.9009900990099,63.4
18,99.95049504950495,64.2
19,100.0,64.4
20,99.95049504950495,63.2
21,99.95049504950495,63.4
22,99.95049504950495,63.6
23,99.95049504950495,64.4
24,99.9009900990099,63.8
25,100.0,63.6
26,99.95049504950495,63.4
27,100.0,65.0
28,100.0,64.0
29,99.85148514851485,63.2
30,99.65346534653466,65.0
31,99.95049504950495,64.6
