Epochs,Training Accuracy,Validation Accuracy
1,0.0,0.0
2,61.08910891089109,58.8
3,81.38613861386139,63.2
4,87.92079207920793,64.2
5,91.23762376237623,66.8
6,95.5940594059406,68.0
7,97.52475247524752,66.0
8,97.87128712871286,67.4
9,99.45544554455445,68.2
10,99.5049504950495,65.2
11,99.55445544554455,67.2
12,99.45544554455445,66.4
13,99.8019801980198,65.6
14,100.0,66.6
15,99.95049504950495,67.0
16,99.00990099009901,65.0
17,99.35643564356435,66.2
18,99.55445544554455,66.4
19,99.95049504950495,67.0
20,99.9009900990099,67.4
21,99.9009900990099,66.2
22,98.86138613861387,65.8
23,99.9009900990099,66.8
24,99.45544554455445,68.0
25,99.3069306930693,66.4
26,99.55445544554455,64.0
27,99.10891089108911,66.8
28,99.9009900990099,66.0
29,99.95049504950495,66.2
30,99.60396039603961,66.6
31,99.45544554455445,68.0
