Epochs,Training Loss,Validation Loss
1,0.0,0.0
2,1.9287128712871286,1.0
3,0.4079207920792079,0.2
4,0.1797029702970297,0.3
5,0.07821782178217822,0.5
6,0.03762376237623762,0.0
7,0.011881188118811881,0.1
8,0.007920792079207921,0.0
9,0.0039603960396039604,0.034
10,0.0049504950495049506,0.0
11,0.0029702970297029703,0.3
12,0.0019801980198019802,0.0
13,0.0019801980198019802,0.0
14,0.0004950495049504951,0.0
15,0.0,0.034
16,0.0024752475247524753,0.5
17,0.004455445544554455,0.0
18,0.0009900990099009901,0.0
19,0.0009900990099009901,0.1
20,0.0004950495049504951,0.0
21,0.0009900990099009901,0.232
22,0.0019801980198019802,0.0
23,0.0009900990099009901,0.032
24,0.0014851485148514852,0.034
25,0.0,0.066
26,0.0004950495049504951,0.0
27,0.0004950495049504951,0.032
28,0.0004950495049504951,0.032
29,0.0019801980198019802,0.234
30,0.0049504950495049506,0.0
31,0.0004950495049504951,0.0
