Epochs,Training Accuracy,Validation Accuracy
1,0.0,0.0
2,38.613861386138616,45.8
3,63.31683168316832,58.6
4,71.68316831683168,62.2
5,74.60396039603961,62.0
6,77.77227722772277,61.6
7,78.36633663366337,61.0
8,79.70297029702971,61.8
9,80.1980198019802,61.4
10,82.27722772277228,62.0
11,83.51485148514851,62.8
12,85.44554455445545,62.4
13,85.39603960396039,62.4
14,85.94059405940594,62.8
15,87.12871287128714,62.4
16,88.06930693069307,62.6
17,87.97029702970298,63.2
18,89.15841584158416,62.8
19,90.1980198019802,63.4
20,90.54455445544555,63.2
21,91.48514851485149,63.4
22,91.43564356435644,63.6
23,93.26732673267327,64.0
24,93.66336633663366,64.0
25,93.91089108910892,64.0
26,94.5049504950495,63.8
27,94.85148514851485,63.6
28,94.9009900990099,63.4
29,95.54455445544555,64.2
30,95.6930693069307,63.2
31,96.03960396039604,63.8
