Epochs,Training Loss,Validation Loss
1,0.0,0.0
2,0.9900990099009901,0.5
3,0.499009900990099,0.594
4,0.3222772277227723,1.874
5,0.2495049504950495,0.936
6,0.14405940594059405,1.28
7,0.09455445544554456,0.874
8,0.07326732673267326,0.0
9,0.02821782178217822,0.656
10,0.030693069306930693,0.374
11,0.02178217821782178,0.782
12,0.023762376237623763,0.094
13,0.007920792079207921,0.0
14,0.0014851485148514852,0.0
15,0.0014851485148514852,0.468
16,0.019801980198019802,1.344
17,0.016831683168316833,0.562
18,0.00891089108910891,0.062
19,0.0009900990099009901,0.126
20,0.0024752475247524753,0.062
21,0.0024752475247524753,1.344
22,0.036138613861386136,0.0
23,0.0014851485148514852,0.718
24,0.009900990099009901,0.688
25,0.013861386138613862,0.624
26,0.010396039603960397,1.218
27,0.02277227722772277,0.092
28,0.0019801980198019802,0.0
29,0.0,0.186
30,0.007425742574257425,0.812
31,0.010396039603960397,0.156
